Date,Price,Open,High,Low,Vol.,Change %,CPIAUCSL
2016-03-04,"1,270.70","1,264.60","1,280.70","1,250.10",361.18K,0.99%,238.08
2016-03-03,"1,258.20","1,240.80","1,269.30","1,238.00",226.30K,1.32%,238.08
2016-03-02,"1,241.80","1,232.30","1,244.80","1,225.10",182.78K,0.89%,238.08
2016-03-01,"1,230.80","1,238.90","1,249.30","1,227.70",225.61K,-0.29%,238.08
2016-02-29,"1,234.40","1,223.10","1,241.80","1,216.30",183.45K,1.15%,237.336
2016-02-26,"1,220.40","1,232.50","1,241.30","1,212.00",218.71K,-1.49%,237.336
2016-02-25,"1,238.80","1,228.90","1,244.40","1,221.80",208.22K,-0.02%,237.336
2016-02-24,"1,239.10","1,226.00","1,254.30","1,222.40",274.24K,1.35%,237.336
2016-02-23,"1,222.60","1,208.90","1,229.00","1,207.60",184.48K,1.03%,237.336
2016-02-22,"1,210.10","1,226.90","1,226.90","1,202.50",160.97K,-1.68%,237.336
2016-02-19,"1,230.80","1,231.20","1,235.30","1,220.60",184.25K,0.37%,237.336
2016-02-18,"1,226.30","1,209.50","1,240.60","1,201.30",182.12K,1.23%,237.336
2016-02-17,"1,211.40","1,201.90","1,214.40","1,196.20",162.45K,0.26%,237.336
2016-02-15,"1,208.20","1,236.30","1,236.30","1,191.50",340.80K,-2.52%,237.336
2016-02-12,"1,239.40","1,247.10","1,248.70","1,232.90",191.13K,-0.67%,237.336
2016-02-11,"1,247.80","1,197.50","1,263.90","1,196.30",365.65K,4.45%,237.336
2016-02-10,"1,194.60","1,189.70","1,198.10","1,181.60",168.64K,-0.33%,237.336
2016-02-09,"1,198.60","1,189.50","1,199.30","1,185.90",190.80K,0.06%,237.336
2016-02-08,"1,197.90","1,174.00","1,201.40","1,164.50",249.46K,3.47%,237.336
2016-02-05,"1,157.70","1,155.70","1,175.00","1,145.50",214.89K,0.02%,237.336
2016-02-04,"1,157.50","1,142.50","1,157.90","1,139.70",177.21K,1.42%,237.336
2016-02-03,"1,141.30","1,129.40","1,146.20","1,124.80",189.23K,1.25%,237.336
2016-02-02,"1,127.20","1,128.50","1,131.50","1,122.60",117.73K,-0.07%,237.336
2016-02-01,"1,128.00","1,118.00","1,130.20","1,115.30",118.52K,1.04%,237.336
2016-01-29,"1,116.40","1,114.80","1,118.90","1,108.50",133.25K,0.03%,237.652
2016-01-28,"1,116.10","1,126.20","1,126.40","1,110.20",151.22K,0.03%,237.652
2016-01-27,"1,115.80","1,119.90","1,128.00","1,114.90",168.71K,-0.39%,237.652
2016-01-26,"1,120.20","1,108.20","1,123.20","1,107.20",197.69K,1.35%,237.652
2016-01-25,"1,105.30","1,097.80","1,109.20","1,097.60",176.36K,0.82%,237.652
2016-01-22,"1,096.30","1,101.60","1,103.50","1,094.40",142.74K,-0.17%,237.652
2016-01-21,"1,098.20","1,100.90","1,106.20","1,092.50",178.74K,-0.72%,237.652
2016-01-20,"1,106.20","1,087.30","1,109.90","1,087.10",193.28K,1.57%,237.652
